"timestamp","acoustic.a1.L10_A","acoustic.a1.L10_Z","acoustic.a1.Leq_A","acoustic.a1.Leq_Z","acoustic.a2.L10_A","acoustic.a2.L10_Z","acoustic.a2.Leq_A","acoustic.a2.Leq_Z","meteo.a3.Hum","meteo.a3.Patm","meteo.a3.Rain","meteo.a3.Temp","meteo.a3.Wind_Dir","meteo.a4.Hum","meteo.a4.Patm","meteo.a4.Rain","meteo.a4.Temp","meteo.a4.Wind_Dir","meteo.lidar.Fog","meteo.lidar.Hum","meteo.lidar.Patm","meteo.lidar.Rain","meteo.lidar.Temp","meteo.s1.H","meteo.s1.Moy_T","meteo.s1.Wind_Dir","meteo.s1.Wind_Speed","meteo.s2.H","meteo.s2.Moy_T","meteo.s2.Wind_Dir","meteo.s2.Wind_Speed"
2020-07-22 09:10:00,36.87,53.94,39.53,63.86,34.63,52.45,47.6,66.44,54.9974,1005.35,0,16.6997,17.9962,,,,,,0,32.3591176470588,1005.57647058824,0,25.7702941176471,26.2198071894977,15.2924383333333,290.655342890563,5.31780426310485,"nan",16.06,294.452413476502,4.82350794011302
2020-07-22 09:20:00,37.73,53.54,40.14,63.54,32.83,51.46,42.3,67.75,54.1978,1005.48,0,16.8993,61.9977,,,,,,0,31.6631428571429,1005.47428571429,0,25.848,108.389149245342,15.6896708333333,301.343375749147,5.02153079355863,"nan",0,297.720892639958,4.36061212684629
2020-07-22 09:30:00,38.26,53.16,40.87,65.81,33.71,53,40.66,68.88,52.5986,1005.74,0,17.2985,57.9986,,,,,,0,30.5062857142857,1005.44285714286,0,25.7671428571429,148.993629765472,15.9840916666667,301.133377499341,4.40862227457653,"nan",0,299.771120117311,4.00505237674134
2020-07-22 09:40:00,37.98,53.56,41.96,68.22,33.75,52.63,47.55,70.9,51.6984,1005.74,0,17.7984,28.9938,,,,,,0,29.4079411764706,1005.34705882353,0,25.8723529411765,87.461619537235,16.1697541666667,305.302949688773,4.94823197983866,"nan",0,301.068916191196,4.38473941089564
2020-07-22 09:50:00,37.55,52.52,41.67,66.81,34.39,53.62,43.12,71.7,48.6984,1005.74,0,18.6993,94.9907,,,,,,0,29.3517142857143,1005.28857142857,0.0571428571428571,26.0674285714286,96.0718744734797,16.4442776831346,303.299097577292,4.96754274861525,"nan",0,299.599168653541,4.59338242146719
2020-07-22 10:00:00,39.03,54.63,41.8,67.83,34.16,52.32,41.71,69.48,47.2976,1005.87,0,19.0985,57.9986,,,,,,0,30.5482352941176,1005.24705882353,0,26.4267647058824,140.71512716731,16.7868083333333,302.024239588649,4.54747084580744,"nan",0,301.101627796862,4.10321588578011
2020-07-22 10:10:00,38.64,54.3,42.66,67.83,32.8,50.58,41.22,71.92,46.6994,1005.61,0,19.0985,83.993,,,,,,0,30.256,1005.24857142857,0,26.4551428571429,114.732126172741,17.1554308333333,295.220464801011,4.02308482996383,"nan",0,296.63220349174,3.98700984099697
2020-07-22 10:20:00,39.43,54.79,42.19,67.57,34.53,51.66,41.56,68.83,45.0972,1005.61,0,19.5984,63.9973,,,,,,0,29.5562857142857,1005.14,0,26.6545714285714,199.945832688732,17.5802475,287.818996043038,3.41396397621063,"nan",0,292.711375084361,3.16580546014065
2020-07-22 10:30:00,39.85,55.59,43.85,68.87,34.3,50.49,41.99,71.2,42.9975,1005.61,0,20.3986,64.9971,,,,,,0,29.0258823529412,1005.15,0,26.4973529411765,173.626846945912,17.7881183333333,285.825873343201,4.05947778107734,"nan",0,292.539098460254,3.65710364308677
2020-07-22 10:40:00,39.22,55.68,42.8,67.58,32.27,50.23,49.67,68.81,41.4991,1005.61,0,20.4993,61.9977,,,,,,0,28.8311764705882,1005.05,0,26.6026470588235,269.450448924835,18.3779333333333,292.721798610923,3.85216420001753,"nan",0,295.465206034155,3.42211071869552
2020-07-22 10:50:00,39.73,55.29,42.9,68.79,34.95,54.55,41.02,69.85,41.2,1005.61,0,20.7996,35.9923,,,,,,0,28.6645714285714,1004.92857142857,0,26.7237142857143,104.744546305272,18.4408611584327,282.414406683447,3.39632754913151,"nan",0,291.432409510069,2.98878610556845
2020-07-22 11:00:00,39.11,55.88,41.69,65.75,32.25,51.13,38.48,67.12,40.4981,1005.61,0,21.0999,71.9956,,,,,,0,28.7952941176471,1004.85,0,26.8308823529412,170.820318649335,18.7652233333333,293.314356639208,3.87673799666379,"nan",0,296.759158550372,3.52279793297905
2020-07-22 11:10:00,39.49,55.15,43.18,69.61,33.21,49.99,40.58,64.95,38.9996,1005.48,0,21.8983,68.9962,,,,,,0,28.0058823529412,1004.65882352941,0,26.9097058823529,199.031543908728,19.2728175,287.497674680436,3.10120396178415,"nan",0,291.641165300547,2.68172158180955
2020-07-22 11:20:00,39.57,55.24,42.69,69.05,33.2,50.42,42.9,68.37,36.7992,1005.48,0,22.2993,89.9918,,,,,,0,28.4622222222222,1004.63333333333,0,26.7552777777778,186.550356604016,19.5997875,281.153092943421,3.15563628827006,"nan",0,289.669955611068,2.42441869244104
2020-07-22 11:30:00,37.27,50.52,41.8,68.24,36.2,53.32,47.17,74.15,34.6995,1005.61,0,22.5996,101.989,,,,,,0,27.8452941176471,1004.43529411765,0,26.7970588235294,151.887411462629,19.7389375,299.097061542658,4.07661539487676,"nan",0,300.014186755543,3.08225394420179
2020-07-22 11:40:00,38.29,53.15,42.84,69.59,34.98,55.03,42.51,73.52,33.6985,1005.48,0,22.8999,48.9895,,,,,,0,28.7070588235294,1004.36764705882,0,26.7823529411765,223.846931260181,20.0400316666667,303.476187152927,4.67213781007862,"nan",0,298.669618187687,3.6817422809238
2020-07-22 11:50:00,37.25,50.83,42.54,69.85,34.34,51.11,41.73,64.91,30.9976,1005.35,0,23.6982,50.9891,,,,,,0,30.255,1004.36666666667,0,26.6172222222222,340.186001731763,20.465180102916,310.387303316181,3.89534851253763,"nan",0,300.226384015953,2.86132056119664
2020-07-22 12:00:00,38.01,52.91,42.81,68.57,36.01,53.08,45.83,66.4,30.3995,1005.35,0,23.9985,38.9917,,,,,,0,29.2844117647059,1004.21470588235,0,26.9752941176471,346.040760053402,20.566945,287.81013534743,3.9130051250334,"nan",0,294.419033849671,3.5177957424743
2020-07-22 12:10:00,38.48,53.01,41.86,68.02,35.06,58.24,45.1,68.83,31.1991,1005.35,0,24.2988,25.9944,,,,,,0,29.2973529411765,1004.19117647059,0,26.8161764705882,291.852227922792,20.6180308333333,278.590780885089,4.31158956476008,"nan",23.16,288.741964395976,3.24947430580073
2020-07-22 12:20:00,36.88,50.23,41.13,65.77,33.81,50.56,39.84,68.24,29.5999,1005.09,0,24.3995,2.99936,,,,,,0,29.7734285714286,1004.17142857143,0,26.7068571428571,203.688152507167,20.8549058333333,281.171387734197,4.2708471294374,"nan",0,288.381752931622,3.38681070801901
